service_id,date,exception_type
LA,20241225,2
LS,20241225,2
TD,20241225,2
DJ,20241225,2
FE,20241225,1
SDF,20241225,1
LA,20250101,2
LS,20250101,2
TD,20250101,2
DJ,20250101,2
FE,20250101,1
SDF,20250101,1
LA,20250106,2
LS,20250106,2
TD,20250106,2
SA,20250106,2
FE,20250106,1
SDF,20250106,1
LA,20250304,2
LS,20250304,2
TD,20250304,2
DJ,20250304,2
FE,20250304,1
SDF,20250304,1
LA,20250417,2
LS,20250417,2
TD,20250417,2
DJ,20250417,2
FE,20250417,1
SDF,20250417,1
LA,20250418,2
LS,20250418,2
TD,20250418,2
VS,20250418,2
VSVF,20250418,2
FE,20250418,1
SDF,20250418,1
LA,20250501,2
LS,20250501,2
TD,20250501,2
DJ,20250501,2
FE,20250501,1
SDF,20250501,1
LA,20250530,2
LS,20250530,2
TD,20250530,2
VS,20250530,2
VSVF,20250530,2
FE,20250530,1
SDF,20250530,1
LA,20250624,2
LS,20250624,2
TD,20250624,2
DJ,20250624,2
FE,20250624,1
SDF,20250624,1
LA,20250815,2
LS,20250815,2
TD,20250815,2
VS,20250815,2
VSVF,20250815,2
FE,20250815,1
SDF,20250815,1
LA,20250908,2
LS,20250908,2
TD,20250908,2
DJ,20250908,2
FE,20250908,1
SDF,20250908,1
LA,20251101,2
LS,20251101,2
TD,20251101,2
SA,20251101,2
VS,20251101,2
VSVF,20251101,2
FE,20251101,1
SDF,20251101,1
LA,20251206,2
LS,20251206,2
TD,20251206,2
SA,20251206,2
VS,20251206,2
VSVF,20251206,2
FE,20251206,1
SDF,20251206,1
LA,20251208,2
LS,20251208,2
TD,20251208,2
DJ,20251208,2
FE,20251208,1
SDF,20251208,1
LA,20251225,2
LS,20251225,2
TD,20251225,2
DJ,20251225,2
FE,20251225,1
SDF,20251225,1